material,variant,episode,phase,n_on_tool,n_in_target,transfer_efficiency,spill_ratio
elastoplastic,standard,1,after_lift_low,13,0,0.0,0.43072534637326815
elastoplastic,standard,1,after_lift_full,1114,0,0.0,0.8268133659331703
elastoplastic,standard,1,traverse_midpoint,0,0,0.0,0.9062754686226568
elastoplastic,standard,1,at_deposit,0,0,0.0,1.0
elastoplastic,standard,1,final,0,0,0.0,1.0
elastoplastic,standard,2,after_lift_low,13,0,0.0,0.4290953545232274
elastoplastic,standard,2,after_lift_full,1115,0,0.0,0.8268133659331703
elastoplastic,standard,2,traverse_midpoint,0,0,0.0,0.9062754686226568
elastoplastic,standard,2,at_deposit,0,0,0.0,1.0
elastoplastic,standard,2,final,0,0,0.0,1.0
elastoplastic,standard,3,after_lift_low,13,0,0.0,0.43031784841075793
elastoplastic,standard,3,after_lift_full,1115,0,0.0,0.8268133659331703
elastoplastic,standard,3,traverse_midpoint,0,0,0.0,0.9062754686226568
elastoplastic,standard,3,at_deposit,0,0,0.0,1.0
elastoplastic,standard,3,final,0,0,0.0,1.0
elastoplastic,slow_traverse,1,after_lift_low,13,0,0.0,0.43072534637326815
elastoplastic,slow_traverse,1,traverse_midpoint,0,0,0.0,0.9975550122249389
elastoplastic,slow_traverse,1,at_deposit,0,0,0.0,1.0
elastoplastic,slow_traverse,1,final,0,0,0.0,1.0
elastoplastic,slow_traverse,2,after_lift_low,13,0,0.0,0.43031784841075793
elastoplastic,slow_traverse,2,traverse_midpoint,0,0,0.0,0.9975550122249389
elastoplastic,slow_traverse,2,at_deposit,0,0,0.0,1.0
elastoplastic,slow_traverse,2,final,0,0,0.0,1.0
elastoplastic,slow_traverse,3,after_lift_low,13,0,0.0,0.4290953545232274
elastoplastic,slow_traverse,3,traverse_midpoint,0,0,0.0,0.9975550122249389
elastoplastic,slow_traverse,3,at_deposit,0,0,0.0,1.0
elastoplastic,slow_traverse,3,final,0,0,0.0,1.0
elastoplastic,low_lift,1,after_lift_low,0,0,0.0,0.18052159739201304
elastoplastic,low_lift,1,traverse_midpoint,0,0,0.0,0.4030154849225754
elastoplastic,low_lift,1,at_deposit,0,0,0.0,0.47147514262428686
elastoplastic,low_lift,1,final,0,0,0.0,0.5517522412387939
elastoplastic,low_lift,2,after_lift_low,0,0,0.0,0.18052159739201304
elastoplastic,low_lift,2,traverse_midpoint,0,0,0.0,0.4030154849225754
elastoplastic,low_lift,2,at_deposit,0,0,0.0,0.47147514262428686
elastoplastic,low_lift,2,final,0,0,0.0,0.5517522412387939
elastoplastic,low_lift,3,after_lift_low,0,0,0.0,0.18052159739201304
elastoplastic,low_lift,3,traverse_midpoint,0,0,0.0,0.4030154849225754
elastoplastic,low_lift,3,at_deposit,0,0,0.0,0.47147514262428686
elastoplastic,low_lift,3,final,0,0,0.0,0.5517522412387939
elastoplastic,tilted_scoop,1,after_lift_low,0,0,0.0,0.18663406682966585
elastoplastic,tilted_scoop,1,traverse_midpoint,0,0,0.0,0.5676446617766912
elastoplastic,tilted_scoop,1,at_deposit,0,0,0.0,0.4967400162999185
elastoplastic,tilted_scoop,1,final,0,0,0.0,0.6817440912795436
elastoplastic,tilted_scoop,2,after_lift_low,0,0,0.0,0.18622656886715566
elastoplastic,tilted_scoop,2,traverse_midpoint,0,0,0.0,0.5676446617766912
elastoplastic,tilted_scoop,2,at_deposit,0,0,0.0,0.4971475142624287
elastoplastic,tilted_scoop,2,final,0,0,0.0,0.6821515892420538
elastoplastic,tilted_scoop,3,after_lift_low,0,0,0.0,0.18622656886715566
elastoplastic,tilted_scoop,3,traverse_midpoint,0,0,0.0,0.5676446617766912
elastoplastic,tilted_scoop,3,at_deposit,0,0,0.0,0.49755501222493886
elastoplastic,tilted_scoop,3,final,0,0,0.0,0.6817440912795436
