material,variant,episode,phase,n_on_tool,n_in_target,transfer_efficiency,spill_ratio
snow,standard,1,after_lift_low,613,0,0.0,0.35833333333333334
snow,standard,1,after_lift_full,39,0,0.0,0.41375
snow,standard,1,traverse_midpoint,0,0,0.0,0.4295833333333333
snow,standard,1,at_deposit,0,0,0.0,0.43041666666666667
snow,standard,1,final,0,0,0.0,0.43
snow,standard,2,after_lift_low,613,0,0.0,0.35833333333333334
snow,standard,2,after_lift_full,39,0,0.0,0.41375
snow,standard,2,traverse_midpoint,0,0,0.0,0.43
snow,standard,2,at_deposit,0,0,0.0,0.43041666666666667
snow,standard,2,final,0,0,0.0,0.4295833333333333
snow,standard,3,after_lift_low,613,0,0.0,0.35833333333333334
snow,standard,3,after_lift_full,39,0,0.0,0.41375
snow,standard,3,traverse_midpoint,0,0,0.0,0.4295833333333333
snow,standard,3,at_deposit,0,0,0.0,0.43041666666666667
snow,standard,3,final,0,0,0.0,0.4295833333333333
snow,slow_traverse,1,after_lift_low,613,0,0.0,0.35833333333333334
snow,slow_traverse,1,traverse_midpoint,0,0,0.0,0.43041666666666667
snow,slow_traverse,1,at_deposit,0,0,0.0,0.42916666666666664
snow,slow_traverse,1,final,0,0,0.0,0.4295833333333333
snow,slow_traverse,2,after_lift_low,613,0,0.0,0.35833333333333334
snow,slow_traverse,2,traverse_midpoint,0,0,0.0,0.43041666666666667
snow,slow_traverse,2,at_deposit,0,0,0.0,0.42916666666666664
snow,slow_traverse,2,final,0,0,0.0,0.4295833333333333
snow,slow_traverse,3,after_lift_low,613,0,0.0,0.35833333333333334
snow,slow_traverse,3,traverse_midpoint,0,0,0.0,0.43041666666666667
snow,slow_traverse,3,at_deposit,0,0,0.0,0.42916666666666664
snow,slow_traverse,3,final,0,0,0.0,0.43
snow,low_lift,1,after_lift_low,313,0,0.0,0.29333333333333333
snow,low_lift,1,traverse_midpoint,0,0,0.0,0.32916666666666666
snow,low_lift,1,at_deposit,0,0,0.0,0.36125
snow,low_lift,1,final,0,0,0.0,0.3616666666666667
snow,low_lift,2,after_lift_low,316,0,0.0,0.29375
snow,low_lift,2,traverse_midpoint,0,0,0.0,0.3304166666666667
snow,low_lift,2,at_deposit,0,0,0.0,0.3616666666666667
snow,low_lift,2,final,0,0,0.0,0.3620833333333333
snow,low_lift,3,after_lift_low,313,0,0.0,0.29333333333333333
snow,low_lift,3,traverse_midpoint,0,0,0.0,0.32916666666666666
snow,low_lift,3,at_deposit,0,0,0.0,0.36125
snow,low_lift,3,final,0,0,0.0,0.3616666666666667
